Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,NIFTY,35000,FUTIDX,XX,-1,NIFTY,NIFTY SEP FUT,NIFTY26SEP24F,2024-09-26,25,0.05
NFO,nse_fo,AARTIIND,35001,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND SEP FUT,AARTIIND26SEP24F,2024-09-26,1000,0.05
NFO,nse_fo,ABB,35002,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB SEP FUT,ABB26SEP24F,2024-09-26,125,0.05
NFO,nse_fo,ABBOTINDIA,35003,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA SEP FUT,ABBOTINDIA26SEP24F,2024-09-26,20,0.05
NFO,nse_fo,NIFTYNXT50,35004,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 SEP FUT,NIFTYNXT5027SEP24F,2024-09-27,10,0.05
NFO,nse_fo,BANKNIFTY,35006,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY OCT FUT,BANKNIFTY30OCT24F,2024-10-30,15,0.05
NFO,nse_fo,NIFTYNXT50,35007,FUTIDX,XX,-1,NIFTYNXT50,NIFTYNXT50 OCT FUT,NIFTYNXT5025OCT24F,2024-10-25,10,0.05
NFO,nse_fo,ABCAPITAL,35008,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL SEP FUT,ABCAPITAL26SEP24F,2024-09-26,5400,0.01
NFO,nse_fo,ABFRL,35009,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL SEP FUT,ABFRL26SEP24F,2024-09-26,2600,0.05
NFO,nse_fo,ACC,35010,FUTSTK,XX,-1,ACC LIMITED,ACC SEP FUT,ACC26SEP24F,2024-09-26,300,0.05
NFO,nse_fo,ADANIENT,35011,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT SEP FUT,ADANIENT26SEP24F,2024-09-26,300,0.05
NFO,nse_fo,FINNIFTY,35012,FUTIDX,XX,-1,FINNIFTY,FINNIFTY OCT FUT,FINNIFTY29OCT24F,2024-10-29,25,0.05
NFO,nse_fo,ADANIPORTS,35020,FUTSTK,XX,-1,ADANI PORT & SEZ LTD,ADANIPORTS SEP FUT,ADANIPORTS26SEP24F,2024-09-26,400,0.05
NFO,nse_fo,ALKEM,35021,FUTSTK,XX,-1,ALKEM LABORATORIES LTD.,ALKEM SEP FUT,ALKEM26SEP24F,2024-09-26,100,0.05
